segment	mean_coverage	median_coverage	0x	1-25x	25-100x	100-1000x	1000x+	sample_id	total_coverage
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_rt_pcr_nc_8-replicate-1	2341.0
ha	32.204532577903684	4.0	592.0	857.0	224.0	92.0	0.0	h3_sc1-replicate-1	1765.0
mp	10848.691333982471	9955.0	0.0	0.0	0.0	0.0	1027.0	h3_sc1-replicate-1	1027.0
na	8.11118690313779	0.0	1293.0	122.0	14.0	37.0	0.0	h3_sc1-replicate-1	1466.0
np	15549.972523961662	0.0	1122.0	1.0	16.0	146.0	280.0	h3_sc1-replicate-1	1565.0
ns	33700.074157303374	34908.5	0.0	0.0	0.0	0.0	890.0	h3_sc1-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_sc1-replicate-1	2233.0
pb1	378.30798803929946	0.0	1687.0	90.0	0.0	108.0	456.0	h3_sc1-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc1-replicate-1	2341.0
ha	729.0526912181303	866.0	264.0	119.0	114.0	517.0	751.0	h3_sc1-replicate-2	1765.0
mp	16858.861733203506	15276.0	0.0	0.0	0.0	0.0	1027.0	h3_sc1-replicate-2	1027.0
na	1490.2585266030014	1540.5	0.0	11.0	86.0	221.0	1148.0	h3_sc1-replicate-2	1466.0
np	10127.294568690097	902.0	0.0	0.0	0.0	929.0	636.0	h3_sc1-replicate-2	1565.0
ns	17659.4797752809	18944.5	0.0	0.0	0.0	1.0	889.0	h3_sc1-replicate-2	890.0
pa	214.0962830273175	23.0	563.0	579.0	386.0	703.0	2.0	h3_sc1-replicate-2	2233.0
pb1	1241.7479709525844	49.0	990.0	99.0	125.0	279.0	848.0	h3_sc1-replicate-2	2341.0
pb2	96.08543357539511	0.0	1634.0	15.0	328.0	364.0	0.0	h3_sc1-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc2-replicate-1	1765.0
mp	5682.2979552093475	0.0	613.0	1.0	0.0	0.0	413.0	h3_sc2-replicate-1	1027.0
na	130.51773533424284	147.0	32.0	195.0	221.0	1018.0	0.0	h3_sc2-replicate-1	1466.0
np	8825.134824281151	0.0	1283.0	2.0	0.0	0.0	280.0	h3_sc2-replicate-1	1565.0
ns	31967.416853932584	33276.5	0.0	0.0	0.0	0.0	890.0	h3_sc2-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_sc2-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc2-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc2-replicate-1	2341.0
ha	262.3705382436261	166.0	360.0	208.0	152.0	908.0	137.0	h3_sc2-replicate-2	1765.0
mp	12837.226874391432	13050.0	0.0	0.0	0.0	0.0	1027.0	h3_sc2-replicate-2	1027.0
na	28.971350613915416	0.0	1099.0	50.0	81.0	236.0	0.0	h3_sc2-replicate-2	1466.0
np	10985.750798722043	1737.0	0.0	0.0	0.0	108.0	1457.0	h3_sc2-replicate-2	1565.0
ns	16548.5202247191	18708.5	0.0	0.0	0.0	1.0	889.0	h3_sc2-replicate-2	890.0
pa	283.294670846395	0.0	1360.0	170.0	30.0	275.0	398.0	h3_sc2-replicate-2	2233.0
pb1	214.45023494233232	0.0	1594.0	4.0	1.0	650.0	92.0	h3_sc2-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc2-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-1	1765.0
mp	0.1762414800389484	0.0	846.0	181.0	0.0	0.0	0.0	h3_sc3-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-1	1466.0
np	8963.205750798723	0.0	1283.0	2.0	0.0	0.0	280.0	h3_sc3-replicate-1	1565.0
ns	35893.416853932584	38904.0	0.0	0.0	0.0	0.0	890.0	h3_sc3-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-1	2233.0
pb1	0.0486971379752242	0.0	2227.0	114.0	0.0	0.0	0.0	h3_sc3-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-2	1765.0
mp	0.2297955209347614	0.0	909.0	118.0	0.0	0.0	0.0	h3_sc3-replicate-2	1027.0
na	0.0416098226466575	0.0	1405.0	61.0	0.0	0.0	0.0	h3_sc3-replicate-2	1466.0
np	19299.95079872205	0.0	1283.0	1.0	1.0	0.0	280.0	h3_sc3-replicate-2	1565.0
ns	0.2292134831460674	0.0	754.0	136.0	0.0	0.0	0.0	h3_sc3-replicate-2	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc3-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-1	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-1	1565.0
ns	0.2337078651685393	0.0	689.0	201.0	0.0	0.0	0.0	h3_sc4-replicate-1	890.0
pa	0.12897447380206	0.0	2018.0	215.0	0.0	0.0	0.0	h3_sc4-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	1466.0
np	15828.290095846643	0.0	1283.0	1.0	1.0	0.0	280.0	h3_sc4-replicate-2	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc4-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-1	1765.0
mp	0.3729308666017527	0.0	644.0	383.0	0.0	0.0	0.0	h3_sc5-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-1	1466.0
np	0.0408945686900958	0.0	1501.0	64.0	0.0	0.0	0.0	h3_sc5-replicate-1	1565.0
ns	0.3573033707865168	0.0	578.0	312.0	0.0	0.0	0.0	h3_sc5-replicate-1	890.0
pa	0.03179579041648	0.0	2162.0	71.0	0.0	0.0	0.0	h3_sc5-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-2	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-2	1027.0
na	0.1125511596180081	0.0	1383.0	83.0	0.0	0.0	0.0	h3_sc5-replicate-2	1466.0
np	0.1635782747603834	0.0	1395.0	170.0	0.0	0.0	0.0	h3_sc5-replicate-2	1565.0
ns	0.3089887640449438	0.0	661.0	229.0	0.0	0.0	0.0	h3_sc5-replicate-2	890.0
pa	0.0734437975817286	0.0	2151.0	82.0	0.0	0.0	0.0	h3_sc5-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc5-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	1565.0
ns	0.1662921348314607	0.0	809.0	81.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_sc_nc_10-replicate-1	2341.0
ha	151.67705382436262	155.0	0.0	32.0	237.0	1496.0	0.0	h3_stock1-replicate-1	1765.0
mp	25009.777020447906	24208.0	0.0	0.0	0.0	0.0	1027.0	h3_stock1-replicate-1	1027.0
na	3247.3738062755797	2975.0	0.0	0.0	0.0	44.0	1422.0	h3_stock1-replicate-1	1466.0
np	4963.073482428115	5001.0	0.0	0.0	0.0	28.0	1537.0	h3_stock1-replicate-1	1565.0
ns	23576.65617977528	26239.0	0.0	0.0	0.0	1.0	889.0	h3_stock1-replicate-1	890.0
pa	790.7993730407524	631.0	0.0	0.0	1.0	1450.0	782.0	h3_stock1-replicate-1	2233.0
pb1	266.403246475865	259.0	0.0	0.0	57.0	2284.0	0.0	h3_stock1-replicate-1	2341.0
pb2	853.1683041435284	897.0	0.0	0.0	17.0	1533.0	791.0	h3_stock1-replicate-1	2341.0
ha	91.84022662889518	84.0	0.0	66.0	1137.0	562.0	0.0	h3_stock1-replicate-2	1765.0
mp	21749.3417721519	21725.0	0.0	0.0	0.0	0.0	1027.0	h3_stock1-replicate-2	1027.0
na	2017.133015006821	1857.5	0.0	0.0	0.0	133.0	1333.0	h3_stock1-replicate-2	1466.0
np	3876.8485623003194	3929.0	0.0	0.0	0.0	29.0	1536.0	h3_stock1-replicate-2	1565.0
ns	16144.14606741573	16431.0	0.0	0.0	0.0	4.0	886.0	h3_stock1-replicate-2	890.0
pa	637.2158531124048	551.0	0.0	0.0	1.0	1974.0	258.0	h3_stock1-replicate-2	2233.0
pb1	242.62024775736865	227.0	0.0	0.0	83.0	2258.0	0.0	h3_stock1-replicate-2	2341.0
pb2	757.2669799231098	748.0	0.0	0.0	5.0	2060.0	276.0	h3_stock1-replicate-2	2341.0
ha	177.59036827195467	125.0	0.0	38.0	332.0	1395.0	0.0	h3_stock2-replicate-1	1765.0
mp	23007.659201557937	22521.0	0.0	0.0	0.0	0.0	1027.0	h3_stock2-replicate-1	1027.0
na	2680.573669849932	2560.0	0.0	0.0	0.0	66.0	1400.0	h3_stock2-replicate-1	1466.0
np	3731.409584664537	3833.0	0.0	0.0	0.0	29.0	1536.0	h3_stock2-replicate-1	1565.0
ns	19812.603370786517	21256.5	0.0	0.0	0.0	1.0	889.0	h3_stock2-replicate-1	890.0
pa	705.8611733094492	518.0	0.0	0.0	0.0	1747.0	486.0	h3_stock2-replicate-1	2233.0
pb1	212.27296027338744	169.0	0.0	0.0	5.0	2336.0	0.0	h3_stock2-replicate-1	2341.0
pb2	616.9231097821444	485.0	0.0	0.0	0.0	2074.0	267.0	h3_stock2-replicate-1	2341.0
ha	95.07025495750707	48.0	0.0	220.0	942.0	603.0	0.0	h3_stock2-replicate-2	1765.0
mp	16522.301850048687	16398.0	0.0	0.0	0.0	0.0	1027.0	h3_stock2-replicate-2	1027.0
na	1340.2189631650751	1337.5	0.0	0.0	1.0	387.0	1078.0	h3_stock2-replicate-2	1466.0
np	1892.1258785942491	1930.0	0.0	0.0	1.0	36.0	1528.0	h3_stock2-replicate-2	1565.0
ns	15438.71573033708	15577.0	0.0	0.0	0.0	5.0	885.0	h3_stock2-replicate-2	890.0
pa	364.2928795342589	247.0	0.0	0.0	14.0	2018.0	201.0	h3_stock2-replicate-2	2233.0
pb1	156.58692866296454	131.0	0.0	0.0	393.0	1948.0	0.0	h3_stock2-replicate-2	2341.0
pb2	321.29389149935923	257.0	0.0	0.0	2.0	2321.0	18.0	h3_stock2-replicate-2	2341.0
ha	184.6067988668555	133.0	0.0	38.0	312.0	1415.0	0.0	h3_stock3-replicate-1	1765.0
mp	19355.683544303796	18841.0	0.0	0.0	0.0	0.0	1027.0	h3_stock3-replicate-1	1027.0
na	2207.6534788540243	2073.0	0.0	0.0	0.0	112.0	1354.0	h3_stock3-replicate-1	1466.0
np	3217.143769968051	3286.0	0.0	0.0	0.0	31.0	1534.0	h3_stock3-replicate-1	1565.0
ns	19862.77752808989	20709.0	0.0	0.0	0.0	1.0	889.0	h3_stock3-replicate-1	890.0
pa	395.409762651142	261.0	0.0	0.0	1.0	2084.0	148.0	h3_stock3-replicate-1	2233.0
pb1	150.93250747543786	120.0	0.0	0.0	812.0	1529.0	0.0	h3_stock3-replicate-1	2341.0
pb2	290.60102520290474	242.0	0.0	0.0	54.0	2287.0	0.0	h3_stock3-replicate-1	2341.0
ha	91.63739376770538	40.0	0.0	226.0	912.0	627.0	0.0	h3_stock3-replicate-2	1765.0
mp	17908.380720545276	17343.0	0.0	0.0	0.0	0.0	1027.0	h3_stock3-replicate-2	1027.0
na	2051.6384720327424	1985.5	0.0	0.0	0.0	138.0	1328.0	h3_stock3-replicate-2	1466.0
np	3399.0159744408948	3451.0	0.0	0.0	0.0	29.0	1536.0	h3_stock3-replicate-2	1565.0
ns	16406.098876404496	17251.0	0.0	0.0	0.0	1.0	889.0	h3_stock3-replicate-2	890.0
pa	452.3528884908195	344.0	0.0	0.0	1.0	2051.0	181.0	h3_stock3-replicate-2	2233.0
pb1	141.4241777018368	118.0	0.0	0.0	840.0	1501.0	0.0	h3_stock3-replicate-2	2341.0
pb2	416.9384878257155	358.0	0.0	0.0	2.0	2245.0	94.0	h3_stock3-replicate-2	2341.0
ha	236.0226628895184	192.0	0.0	12.0	219.0	1534.0	0.0	h3_stock4-replicate-1	1765.0
mp	28591.777020447906	27405.0	0.0	0.0	0.0	0.0	1027.0	h3_stock4-replicate-1	1027.0
na	3374.37653478854	3361.0	0.0	0.0	0.0	38.0	1428.0	h3_stock4-replicate-1	1466.0
np	4800.624920127795	4907.0	0.0	0.0	0.0	27.0	1538.0	h3_stock4-replicate-1	1565.0
ns	23338.398876404495	25508.0	0.0	0.0	0.0	1.0	889.0	h3_stock4-replicate-1	890.0
pa	525.1845051500223	337.0	0.0	0.0	0.0	1939.0	294.0	h3_stock4-replicate-1	2233.0
pb1	302.7159333618112	98.0	0.0	0.0	1209.0	1132.0	0.0	h3_stock4-replicate-1	2341.0
pb2	688.2481845365229	333.0	0.0	0.0	0.0	1787.0	554.0	h3_stock4-replicate-1	2341.0
ha	187.20963172804537	42.0	0.0	173.0	927.0	665.0	0.0	h3_stock4-replicate-2	1765.0
mp	20251.48393378773	19298.0	0.0	0.0	0.0	0.0	1027.0	h3_stock4-replicate-2	1027.0
na	2791.3090040927696	2708.5	0.0	0.0	0.0	45.0	1421.0	h3_stock4-replicate-2	1466.0
np	2512.276038338658	2615.0	0.0	0.0	0.0	36.0	1529.0	h3_stock4-replicate-2	1565.0
ns	23809.486516853933	25659.5	0.0	0.0	0.0	1.0	889.0	h3_stock4-replicate-2	890.0
pa	870.0483654276758	341.0	0.0	0.0	0.0	1552.0	681.0	h3_stock4-replicate-2	2233.0
pb1	403.86928662964544	176.0	0.0	0.0	60.0	1973.0	308.0	h3_stock4-replicate-2	2341.0
pb2	784.4869713797523	374.0	0.0	0.0	0.0	1804.0	537.0	h3_stock4-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_stock5-replicate-1	1765.0
mp	38386.40993184031	36197.0	0.0	0.0	0.0	0.0	1027.0	h3_stock5-replicate-1	1027.0
na	1858.2162346521145	1628.0	0.0	0.0	0.0	153.0	1313.0	h3_stock5-replicate-1	1466.0
np	2160.9744408945685	2199.0	0.0	0.0	1.0	54.0	1510.0	h3_stock5-replicate-1	1565.0
ns	24159.44157303371	26997.0	0.0	0.0	0.0	0.0	890.0	h3_stock5-replicate-1	890.0
pa	1217.732198835647	1124.0	0.0	0.0	0.0	675.0	1558.0	h3_stock5-replicate-1	2233.0
pb1	990.6578385305424	416.0	0.0	0.0	0.0	1948.0	393.0	h3_stock5-replicate-1	2341.0
pb2	1395.1012387868432	1004.0	0.0	0.0	31.0	1132.0	1178.0	h3_stock5-replicate-1	2341.0
ha	1649.8033994334278	1383.0	800.0	3.0	0.0	24.0	938.0	h3_stock5-replicate-2	1765.0
mp	25817.14313534567	24127.0	0.0	0.0	0.0	0.0	1027.0	h3_stock5-replicate-2	1027.0
na	727.1630286493861	646.0	0.0	0.0	45.0	1136.0	285.0	h3_stock5-replicate-2	1466.0
np	5207.122044728435	5401.0	0.0	0.0	0.0	27.0	1538.0	h3_stock5-replicate-2	1565.0
ns	13873.413483146069	15377.5	0.0	0.0	0.0	1.0	889.0	h3_stock5-replicate-2	890.0
pa	450.3184057321988	342.0	0.0	0.0	0.0	2035.0	198.0	h3_stock5-replicate-2	2233.0
pb1	163.76804784280222	164.0	0.0	43.0	198.0	2100.0	0.0	h3_stock5-replicate-2	2341.0
pb2	848.9414780008543	866.0	0.0	0.0	36.0	1551.0	754.0	h3_stock5-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	1466.0
np	23062.017252396166	23447.0	0.0	0.0	0.0	0.0	1565.0	h3_stock6-replicate-1	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-2	1765.0
mp	0.2911392405063291	0.0	787.0	240.0	0.0	0.0	0.0	h3_stock6-replicate-2	1027.0
na	50174.89085948158	0.0	819.0	160.0	1.0	0.0	486.0	h3_stock6-replicate-2	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-2	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-2	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-2	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-2	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock6-replicate-2	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	1765.0
mp	1.84031158714703	2.0	339.0	688.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	1027.0
na	0.0995907230559345	0.0	1320.0	146.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	1466.0
np	0.2798722044728434	0.0	1208.0	357.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	1565.0
ns	2.443820224719101	2.0	175.0	715.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock_nc_11-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	1765.0
mp	3.632911392405063	4.0	157.0	870.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	1027.0
na	0.5252387448840382	0.0	1042.0	424.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	1466.0
np	0.3533546325878594	0.0	1184.0	381.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	1565.0
ns	5.0	4.0	13.0	877.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	2341.0
pb2	0.1362665527552328	0.0	2022.0	319.0	0.0	0.0	0.0	h3_stock_nc_12-replicate-1	2341.0
ha	0.0	0.0	1765.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	1765.0
mp	0.0	0.0	1027.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	1027.0
na	0.0	0.0	1466.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	1466.0
np	0.0	0.0	1565.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	1565.0
ns	0.0	0.0	890.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	890.0
pa	0.0	0.0	2233.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	2233.0
pb1	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	2341.0
pb2	0.0	0.0	2341.0	0.0	0.0	0.0	0.0	h3_stock_nc_redo12-replicate-1	2341.0
